Tiempo,Corriente,Temperatura
646.9374006,0.0423857718,26.07
647.9569973,0.0423874892,26.11
648.9779051,0.0423866547,26.19
650.0534899,0.0423871167,26.06
651.072773,0.0423892438,26.11
652.0923943,0.0423872545,26.11
653.1118554,0.0423892252,26.13
654.130978,0.042384006,26.05
655.1506068,0.0423817634,26.11
656.1746155,0.0423858128,26.13
657.19426,0.0423846803,26.11
658.2140347,0.0423828698,26.13
659.3495666,0.0423795618,26.13
660.3683393,0.0423789732,26.25
661.3874924,0.0423787049,26.14
662.4068043,0.0423810705,26.13
663.4257055,0.0423788167,26.17
664.4450435,0.0423813425,26.24
665.4797306,0.0423857904,26.14
666.499,0.0423839762,26.07
667.5193971,0.0423810929,26.07
668.5394876,0.0423847995,26.23
669.5584645,0.0423850156,26.12
670.5776265,0.0423834286,26.11
671.6151492,0.042385701,26.11
672.6347648,0.0423834584,26.11
673.6538988,0.0423839502,26.13
674.7369666,0.0423826687,26.11
675.7562582,0.0423855409,26.13
676.775876,0.0423855669,26.17
677.7957432,0.0423863604,26.14
678.8160769,0.0423864461,26.11
679.8357499,0.0423858314,26.17
680.8558457,0.0423881262,26.14
681.8748696,0.0423850379,26.13
682.8940122,0.0423849523,26.11
683.9844537,0.0423818752,26.13
685.004563,0.0423822812,26.17
686.024563,0.0423740781,26.14
687.1021726,0.0423766896,26.19
688.1224705,0.0423810295,26.14
689.1431313,0.0423834584,26.23
690.1623975,0.0423818752,26.24
691.1833223,0.0423823855,26.2
692.2021095,0.0423808582,26.18
693.2223532,0.0423783622,26.26
694.3868672,0.0423771813,26.18
