,INTENSIDAD,,,,,,TRANSMITANCIA,,
Longitud de Onda,Hg-Lamp,,Cristal Chico,,Cristal Gde,,Chico,,Gde.
,,,,,,,,,
811.57,4860.67,,4936.29,,5173.13,,101.5557526,,106.4283319
812.32,5429.67,,5316.29,,5527.13,,97.91184363,,101.7949525
813.06,1403.67,,1366.29,,1426.13,,97.33698091,,101.6000912
813.81,359.67,,378.29,,396.13,,105.1769678,,110.1370701
814.56,164.67,,168.29,,174.13,,102.1983361,,105.744823
815.31,97.67,,102.29,,105.13,,104.730214,,107.6379646
816.05,70.67,,72.29,,78.13,,102.2923447,,110.5561058
816.8,58.67,,56.29,,58.13,,95.94341231,,99.07959775
817.55,48.67,,49.29,,49.13,,101.2738854,,100.9451407
818.3,41.67,,46.29,,49.13,,111.087113,,117.9025678
819.04,39.67,,42.29,,45.13,,106.604487,,113.7635493
819.79,38.67,,39.29,,43.13,,101.6033101,,111.5334885
820.54,39.67,,43.29,,42.13,,109.1252836,,106.2011596
821.28,45.67,,44.29,,46.13,,96.97832275,,101.0072257
822.03,52.67,,52.29,,53.13,,99.27852668,,100.8733624
822.78,56.67,,55.29,,62.13,,97.56484913,,109.6347274
823.52,62.67,,67.29,,68.13,,107.3719483,,108.7123025
824.27,81.67,,83.29,,89.13,,101.9835925,,109.134321
825.02,133.67,,135.29,,140.13,,101.2119399,,104.8327972
825.76,422.67,,441.29,,471.13,,104.405328,,111.4652093
826.51,2749.67,,2835.29,,2999.13,,103.1138282,,109.0723614
827.25,3649.67,,3479.29,,3644.13,,95.33163272,,99.84820545
828,947.67,,937.29,,970.13,,98.90468201,,102.3700233
828.75,257.67,,270.29,,277.13,,104.8977374,,107.5522956
829.49,115.67,,119.29,,127.13,,103.1295928,,109.9074955
830.24,70.67,,73.29,,77.13,,103.7073723,,109.1410783
830.98,50.67,,53.29,,55.13,,105.1707125,,108.8020525
831.73,41.67,,42.29,,46.13,,101.487881,,110.7031437
832.48,38.67,,39.29,,42.13,,101.6033101,,108.9475045
833.22,35.67,,36.29,,39.13,,101.7381553,,109.700028
833.97,38.67,,38.29,,43.13,,99.01732609,,111.5334885
834.71,38.67,,42.29,,44.13,,109.361262,,114.1194725
835.46,45.67,,43.29,,43.13,,94.78870155,,94.43836216
836.2,48.67,,49.29,,53.13,,101.2738854,,109.1637559
836.95,57.67,,59.29,,61.13,,102.8090862,,105.9996532
837.69,71.67,,70.29,,73.13,,98.07450816,,102.0371146
838.44,83.67,,89.29,,91.13,,106.7168639,,108.9159794
839.18,118.67,,124.29,,131.13,,104.735822,,110.4997051
839.93,255.67,,273.29,,281.13,,106.8916963,,109.9581492
840.67,1390.67,,1446.29,,1531.13,,103.999511,,110.1001675
841.42,3222.67,,3121.29,,3193.13,,96.8541613,,99.08336876
842.16,1988.67,,1992.29,,2078.13,,100.1820312,,104.4984839
842.91,3336.67,,3267.29,,3383.13,,97.9206814,,101.3924062
